h	h_name	h_in_db	t	t_name	t_in_db	relation	split
STRG.2925		False	ENSG00000085491	SLC25A24	False		
ENSG00000272841	MAP3K4-AS1	False	ENSG00000085511	MAP3K4	False		
ENSG00000279529		False	ENSG00000085872	CHERP	False		
ENSG00000255038		False	ENSG00000087365	SF3B2	False		
ENSG00000281376	ABALON	True	ENSG00000088325	TPX2	True		
ENSG00000260032	NORAD	True	ENSG00000088367	EPB41L1	False		
ENSG00000277235		False	ENSG00000088367	EPB41L1	False		
ENSG00000260345		False	ENSG00000088682	COQ9	False		
ENSG00000275632		False	ENSG00000088766	CRLS1	True		
ENSG00000275457		False	ENSG00000088930	XRN2	True		
ENSG00000234608	MAPKAPK5-AS1	True	ENSG00000089022	MAPKAPK5	False		
ENSG00000277283	RAB35-AS1	False	ENSG00000089154	GCN1	False		
ENSG00000277283	RAB35-AS1	False	ENSG00000089157	RPLP0	False		
ENSG00000234608	MAPKAPK5-AS1	True	ENSG00000089234	BRAP	False		
ENSG00000274227		False	ENSG00000089248	ERP29	True		
ENSG00000261519		False	ENSG00000089505	CMTM1	False		
ENSG00000271969		False	ENSG00000089693	MLF2	False		
ENST00000537269		False	ENSG00000089693	MLF2	False		
ENST00000514984		False	ENSG00000090316	MAEA	False		
ENSG00000275719		False	ENSG00000090372	STRN4	False		
ENSG00000263826		False	ENSG00000090520	DNAJB11	False		
ENSG00000277142	LINC00235	False	ENSG00000090565	RAB11FIP3	False		
ENSG00000260425		False	ENSG00000090581	GNPTG	False		
ENSG00000236617	CHFR-DT	False	ENSG00000090615	GOLGA3	False		
ENSG00000280120		False	ENSG00000090975	PITPNM2	False		
ENSG00000241764	CBLL1-AS1	False	ENSG00000091140	DLD	False		
ENSG00000271870		False	ENSG00000091181	IL5RA	False		
ENSG00000259001		False	ENSG00000092094	OSGEP	False		
ENSG00000260669		False	ENSG00000092098	RNF31	False		
ENSG00000260830		False	ENSG00000092199	HNRNPC	False		
ENSG00000260830		False	ENSG00000092201	SUPT16H	False		
ENSG00000259083	PNN-AS1	False	ENSG00000092208	GEMIN2	False		
ENSG00000267801		False	ENSG00000092929	UNC13D	False		
ENST00000414452		False	ENSG00000092969	TGFB2	True		
ENSG00000229589	ACVR2B-AS1	False	ENSG00000093217	XYLB	False		
ENSG00000257379		False	ENSG00000094914	AAAS	False		
ENSG00000270175		False	ENSG00000094914	AAAS	False		
ENST00000506836		False	ENSG00000095015	MAP3K1	True		
